drug,disease,disease,score
D000069439,MESH:D001424,Bacterial Infections,0.949150026
D000069439,MESH:D002286,"Carcinoma, Ehrlich Tumor",0.945422173
D000069439,MESH:D008545,Melanoma,0.945057154
D000069439,MESH:D056486,Chemical and Drug Induced Liver Injury,0.944465578
D000069439,MESH:D010190,Pancreatic Neoplasms,0.944406629
D000069439,MESH:D000647,Amnesia,0.944212556
D000069439,MESH:D008106,"Liver Cirrhosis, Experimental",0.944209337
D000069439,MESH:D008103,Liver Cirrhosis,0.94400388
D000069439,MESH:D009362,Neoplasm Metastasis,0.943327725
D000069439,MESH:D007249,Inflammation,0.942976236
D000069439,MESH:D007674,Kidney Diseases,0.94276005
D000069439,MESH:D003924,"Diabetes Mellitus, Type 2",0.942173719
D000069439,MESH:D004487,Edema,0.941509724
D000069439,MESH:D006943,Hyperglycemia,0.940284491
D000069439,MESH:D006930,Hyperalgesia,0.93996042
D000069439,MESH:D009369,Neoplasms,0.939200163
D000069439,MESH:D008569,Memory Disorders,0.938414574
D000069439,MESH:D009410,Nerve Degeneration,0.937583983
D000069439,MESH:D008175,Lung Neoplasms,0.937320173
D000069439,MESH:D006528,"Carcinoma, Hepatocellular",0.934612274
D000069439,MESH:D015431,Weight Loss,0.934543967
D000069439,MESH:D005355,Fibrosis,0.933360159
D000069439,MESH:D058186,Acute Kidney Injury,0.933175147
D000069439,MESH:D013274,Stomach Neoplasms,0.932588339
D000069439,MESH:D006948,Hyperkinesis,0.932184279
D000069439,MESH:D011471,Prostatic Neoplasms,0.931867838
D000069439,MESH:D008113,Liver Neoplasms,0.931255281
D000069439,MESH:D003092,Colitis,0.930126905
D000069439,MESH:D003921,"Diabetes Mellitus, Experimental",0.930026174
D000069439,MESH:D015427,Reperfusion Injury,0.927959561
D000069439,MESH:D001930,Brain Injuries,0.927680731
D000069439,MESH:D007333,Insulin Resistance,0.927560627
D000069439,MESH:D009336,Necrosis,0.926987469
D000069439,MESH:D015179,Colorectal Neoplasms,0.92667675
D000069439,MESH:D003110,Colonic Neoplasms,0.924980283
D000069439,MESH:D005234,Fatty Liver,0.923677802
D000069439,MESH:D009101,Multiple Myeloma,0.92320466
D000069439,MESH:D011507,Proteinuria,0.92308408
D000069439,MESH:D009202,Cardiomyopathies,0.923041523
D000069439,MESH:D012640,Seizures,0.922684789
D000069439,MESH:D005909,Glioblastoma,0.922183216
D000069439,MESH:D007859,Learning Disabilities,0.922147512
D000069439,MESH:D013276,Stomach Ulcer,0.922035515
D000069439,MESH:D010146,Pain,0.921679735
D000069439,MESH:D015430,Weight Gain,0.920671105
D000069439,MESH:D009389,"Neovascularization, Pathologic",0.919020534
D000069439,MESH:D006973,Hypertension,0.91858691
D000069439,MESH:D010051,Ovarian Neoplasms,0.917425871
D000069439,MESH:D000230,Adenocarcinoma,0.914478004
D000069439,MESH:D004195,"Disease Models, Animal",0.914279044
D000069439,MESH:D011658,Pulmonary Fibrosis,0.914272249
D000069439,MESH:D064420,Drug-Related Side Effects and Adverse Reactions,0.912368298
D000069439,MESH:D005334,Fever,0.912025273
D000069439,MESH:D011014,Pneumonia,0.910116136
D000069439,MESH:D015428,Myocardial Reperfusion Injury,0.909707963
D000069439,MESH:D010195,Pancreatitis,0.909461677
D000069439,MESH:D018149,Glucose Intolerance,0.908929646
D000069439,MESH:D009765,Obesity,0.907677174
D000069439,MESH:D006509,Hepatitis B,0.906218171
D000069439,MESH:D019970,Cocaine-Related Disorders,0.905582786
D000069439,MESH:D002375,Catalepsy,0.905462265
D000069439,MESH:D000419,Albuminuria,0.905184746
D000069439,MESH:D001749,Urinary Bladder Neoplasms,0.904689908
